[INFO] [1788235458.912838211] [plain_slam_web_bridge]: display-only bridge: /go2w/slam/map_3d + /go2w/slam/aligned_scan -> /home/mxt/robotscene/outputs/autonomous_search/runtime/slam_map_3d.json (target_frame=pslam_odom, odom_topic=/go2w/slam/odom_base)
[INFO] [1788235620.817855904] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235620.641 target=pslam_odom points=7681 pose=(1.048,-3.456,-0.160) dyaw=0.0000 stationary=True accumulated=7313 dropped=none
[INFO] [1788235626.815555879] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235626.641 target=pslam_odom points=7684 pose=(1.048,-3.456,-0.160) dyaw=0.0000 stationary=True accumulated=7322 dropped=none
[INFO] [1788235632.817128434] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235632.641 target=pslam_odom points=7681 pose=(1.047,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=7333 dropped=none
[INFO] [1788235638.843502603] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235638.641 target=pslam_odom points=7683 pose=(1.047,-3.456,-0.160) dyaw=0.0001 stationary=True accumulated=7344 dropped=none
[INFO] [1788235644.818229779] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235644.641 target=pslam_odom points=7684 pose=(1.047,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=7355 dropped=none
[INFO] [1788235650.813276476] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235650.641 target=pslam_odom points=7684 pose=(1.047,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=7360 dropped=none
[INFO] [1788235656.818806868] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235656.641 target=pslam_odom points=7685 pose=(1.047,-3.456,-0.160) dyaw=0.0002 stationary=True accumulated=7367 dropped=none
[INFO] [1788235662.812137818] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235662.641 target=pslam_odom points=7684 pose=(1.047,-3.455,-0.160) dyaw=0.0000 stationary=True accumulated=7376 dropped=none
[INFO] [1788235668.822593437] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235668.641 target=pslam_odom points=7684 pose=(1.048,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=7382 dropped=none
[INFO] [1788235674.824677969] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235674.641 target=pslam_odom points=7680 pose=(1.047,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=7385 dropped=none
[INFO] [1788235680.826731024] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235680.641 target=pslam_odom points=7683 pose=(1.047,-3.456,-0.160) dyaw=-0.0001 stationary=True accumulated=7387 dropped=none
[INFO] [1788235686.829761268] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235686.641 target=pslam_odom points=7682 pose=(1.048,-3.456,-0.160) dyaw=0.0002 stationary=True accumulated=7398 dropped=none
[INFO] [1788235692.807567668] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235692.641 target=pslam_odom points=7703 pose=(1.027,-3.450,-0.154) dyaw=0.0010 stationary=False accumulated=8310 dropped=motion_active
[INFO] [1788235698.823974845] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235698.641 target=pslam_odom points=7692 pose=(1.040,-3.453,-0.157) dyaw=-0.0000 stationary=True accumulated=8417 dropped=none
[INFO] [1788235704.813768803] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235704.641 target=pslam_odom points=7695 pose=(1.040,-3.455,-0.157) dyaw=0.0001 stationary=True accumulated=8450 dropped=none
[INFO] [1788235710.809394429] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235710.641 target=pslam_odom points=7690 pose=(1.041,-3.454,-0.157) dyaw=0.0001 stationary=True accumulated=8475 dropped=none
[INFO] [1788235716.814639856] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235716.641 target=pslam_odom points=7696 pose=(1.041,-3.455,-0.157) dyaw=-0.0001 stationary=True accumulated=8482 dropped=none
[INFO] [1788235722.811055823] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235722.641 target=pslam_odom points=7693 pose=(1.041,-3.455,-0.157) dyaw=0.0001 stationary=True accumulated=8501 dropped=none
[INFO] [1788235728.821793872] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235728.641 target=pslam_odom points=7695 pose=(1.041,-3.455,-0.157) dyaw=-0.0002 stationary=True accumulated=8506 dropped=none
[INFO] [1788235734.808190790] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235734.642 target=pslam_odom points=7695 pose=(1.040,-3.455,-0.157) dyaw=0.0001 stationary=True accumulated=8514 dropped=none
[INFO] [1788235740.810837841] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235740.642 target=pslam_odom points=7695 pose=(1.041,-3.454,-0.157) dyaw=0.0003 stationary=True accumulated=8524 dropped=none
[INFO] [1788235746.832471481] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235746.641 target=pslam_odom points=7697 pose=(1.040,-3.455,-0.157) dyaw=-0.0002 stationary=True accumulated=8529 dropped=none
[INFO] [1788235752.810810694] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235752.641 target=pslam_odom points=7695 pose=(1.040,-3.455,-0.157) dyaw=0.0001 stationary=True accumulated=8539 dropped=none
[INFO] [1788235758.819728391] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235758.642 target=pslam_odom points=7691 pose=(1.041,-3.456,-0.157) dyaw=0.0000 stationary=True accumulated=8544 dropped=none
[INFO] [1788235764.813421287] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235764.642 target=pslam_odom points=7696 pose=(1.040,-3.455,-0.157) dyaw=-0.0002 stationary=True accumulated=8549 dropped=none
[INFO] [1788235770.809845141] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235770.641 target=pslam_odom points=7693 pose=(1.041,-3.454,-0.157) dyaw=0.0000 stationary=True accumulated=8556 dropped=none
[INFO] [1788235776.814291132] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235776.641 target=pslam_odom points=7694 pose=(1.040,-3.455,-0.157) dyaw=0.0001 stationary=True accumulated=8562 dropped=none
[INFO] [1788235782.812725549] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235782.641 target=pslam_odom points=7692 pose=(1.040,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=8563 dropped=none
[INFO] [1788235788.823817778] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235788.641 target=pslam_odom points=7695 pose=(1.041,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=8566 dropped=none
[INFO] [1788235794.811768882] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235794.641 target=pslam_odom points=7696 pose=(1.041,-3.455,-0.157) dyaw=-0.0002 stationary=True accumulated=8569 dropped=none
[INFO] [1788235800.811170449] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235800.642 target=pslam_odom points=7693 pose=(1.041,-3.455,-0.157) dyaw=0.0001 stationary=True accumulated=8573 dropped=none
[INFO] [1788235806.814339227] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235806.641 target=pslam_odom points=7695 pose=(1.041,-3.454,-0.157) dyaw=-0.0001 stationary=True accumulated=8579 dropped=none
[INFO] [1788235812.913011345] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235812.742 target=pslam_odom points=7694 pose=(1.041,-3.455,-0.157) dyaw=-0.0004 stationary=True accumulated=8581 dropped=none
[INFO] [1788235818.911846279] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235818.742 target=pslam_odom points=7694 pose=(1.041,-3.455,-0.157) dyaw=-0.0002 stationary=True accumulated=8584 dropped=none
[INFO] [1788235824.923362694] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235824.741 target=pslam_odom points=7694 pose=(1.041,-3.454,-0.157) dyaw=-0.0000 stationary=True accumulated=8586 dropped=none
[INFO] [1788235830.909982302] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235830.741 target=pslam_odom points=7691 pose=(1.041,-3.454,-0.157) dyaw=-0.0002 stationary=True accumulated=8593 dropped=none
[INFO] [1788235836.909304697] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235836.742 target=pslam_odom points=7691 pose=(1.041,-3.455,-0.157) dyaw=0.0002 stationary=True accumulated=8593 dropped=none
[INFO] [1788235842.911165836] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235842.742 target=pslam_odom points=7691 pose=(1.041,-3.454,-0.157) dyaw=0.0002 stationary=True accumulated=8594 dropped=none
[INFO] [1788235848.908319664] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235848.742 target=pslam_odom points=7694 pose=(1.042,-3.455,-0.157) dyaw=-0.0001 stationary=True accumulated=8597 dropped=none
[INFO] [1788235854.910281967] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788235854.742 target=pslam_odom points=7692 pose=(1.040,-3.455,-0.157) dyaw=-0.0000 stationary=True accumulated=8601 dropped=none
