[INFO] [1788235458.912838211] [plain_slam_web_bridge]: display-only bridge: /go2w/slam/map_3d + /go2w/slam/aligned_scan -> /home/mxt/robotscene/outputs/autonomous_search/runtime/slam_map_3d.json (target_frame=pslam_odom, odom_topic=/go2w/slam/odom_base)
[INFO] [1788236155.010743264] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236154.843 target=pslam_odom points=7686 pose=(1.045,-3.454,-0.160) dyaw=0.0002 stationary=True accumulated=5231 dropped=none
[INFO] [1788236161.011757021] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236160.843 target=pslam_odom points=7680 pose=(1.047,-3.453,-0.160) dyaw=0.0001 stationary=True accumulated=5234 dropped=none
[INFO] [1788236167.012604731] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236166.843 target=pslam_odom points=7681 pose=(1.046,-3.453,-0.159) dyaw=-0.0001 stationary=True accumulated=5240 dropped=none
[INFO] [1788236173.011218077] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236172.843 target=pslam_odom points=7683 pose=(1.046,-3.453,-0.159) dyaw=0.0001 stationary=True accumulated=5241 dropped=none
[INFO] [1788236179.009934544] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236178.843 target=pslam_odom points=7683 pose=(1.046,-3.453,-0.159) dyaw=0.0001 stationary=True accumulated=5243 dropped=none
[INFO] [1788236185.013133406] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236184.844 target=pslam_odom points=7683 pose=(1.046,-3.452,-0.159) dyaw=0.0001 stationary=True accumulated=5244 dropped=none
[INFO] [1788236191.011633706] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236190.843 target=pslam_odom points=7684 pose=(1.045,-3.453,-0.160) dyaw=0.0001 stationary=True accumulated=5246 dropped=none
[INFO] [1788236197.011024007] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236196.843 target=pslam_odom points=7681 pose=(1.045,-3.453,-0.159) dyaw=0.0000 stationary=True accumulated=5249 dropped=none
[INFO] [1788236203.009716513] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236202.844 target=pslam_odom points=7682 pose=(1.046,-3.454,-0.160) dyaw=-0.0002 stationary=True accumulated=5250 dropped=none
[INFO] [1788236209.017955211] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236208.843 target=pslam_odom points=7680 pose=(1.046,-3.454,-0.159) dyaw=-0.0002 stationary=True accumulated=5251 dropped=none
[INFO] [1788236215.012460888] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236214.843 target=pslam_odom points=7683 pose=(1.046,-3.453,-0.159) dyaw=-0.0001 stationary=True accumulated=5253 dropped=none
[INFO] [1788236221.014573721] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236220.843 target=pslam_odom points=7686 pose=(1.045,-3.454,-0.159) dyaw=0.0001 stationary=True accumulated=5254 dropped=none
[INFO] [1788236227.011179825] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236226.843 target=pslam_odom points=7680 pose=(1.046,-3.455,-0.159) dyaw=-0.0001 stationary=True accumulated=5259 dropped=none
[INFO] [1788236233.012883856] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236232.843 target=pslam_odom points=7682 pose=(1.046,-3.453,-0.159) dyaw=-0.0001 stationary=True accumulated=5262 dropped=none
[INFO] [1788236239.013772095] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236238.844 target=pslam_odom points=7688 pose=(1.045,-3.453,-0.159) dyaw=0.0000 stationary=True accumulated=5264 dropped=none
[INFO] [1788236245.013676111] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236244.844 target=pslam_odom points=7683 pose=(1.045,-3.453,-0.159) dyaw=0.0001 stationary=True accumulated=5267 dropped=none
[INFO] [1788236251.015315261] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236250.844 target=pslam_odom points=7686 pose=(1.047,-3.455,-0.159) dyaw=0.0001 stationary=True accumulated=5272 dropped=none
[INFO] [1788236257.016192378] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236256.844 target=pslam_odom points=7683 pose=(1.047,-3.453,-0.160) dyaw=-0.0002 stationary=True accumulated=5272 dropped=none
[INFO] [1788236263.011685433] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236262.844 target=pslam_odom points=7688 pose=(1.045,-3.453,-0.159) dyaw=-0.0001 stationary=True accumulated=5273 dropped=none
[INFO] [1788236269.014672688] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236268.844 target=pslam_odom points=7684 pose=(1.047,-3.453,-0.160) dyaw=-0.0000 stationary=True accumulated=5273 dropped=none
[INFO] [1788236275.014975544] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236274.843 target=pslam_odom points=7685 pose=(1.046,-3.453,-0.159) dyaw=-0.0001 stationary=True accumulated=5274 dropped=none
[INFO] [1788236281.009805797] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236280.844 target=pslam_odom points=7683 pose=(1.048,-3.454,-0.160) dyaw=0.0001 stationary=True accumulated=5278 dropped=none
[INFO] [1788236287.009946895] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236286.844 target=pslam_odom points=7681 pose=(1.048,-3.454,-0.160) dyaw=-0.0001 stationary=True accumulated=5289 dropped=none
[INFO] [1788236293.014444096] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236292.844 target=pslam_odom points=7687 pose=(1.047,-3.455,-0.160) dyaw=0.0000 stationary=True accumulated=5294 dropped=none
[INFO] [1788236299.015995055] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236298.845 target=pslam_odom points=7683 pose=(1.047,-3.455,-0.160) dyaw=0.0000 stationary=True accumulated=5296 dropped=none
[INFO] [1788236305.009812175] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236304.844 target=pslam_odom points=7684 pose=(1.048,-3.454,-0.160) dyaw=-0.0001 stationary=True accumulated=5300 dropped=none
[INFO] [1788236311.011485389] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236310.845 target=pslam_odom points=7684 pose=(1.048,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=5304 dropped=none
[INFO] [1788236317.010825692] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236316.845 target=pslam_odom points=7687 pose=(1.049,-3.454,-0.161) dyaw=0.0000 stationary=True accumulated=5307 dropped=none
[INFO] [1788236323.009907580] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236322.844 target=pslam_odom points=7683 pose=(1.048,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5310 dropped=none
[INFO] [1788236329.010550941] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236328.845 target=pslam_odom points=7686 pose=(1.048,-3.453,-0.161) dyaw=-0.0002 stationary=True accumulated=5311 dropped=none
[INFO] [1788236335.010096205] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236334.845 target=pslam_odom points=7684 pose=(1.049,-3.454,-0.160) dyaw=0.0000 stationary=True accumulated=5312 dropped=none
[INFO] [1788236341.011754779] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236340.845 target=pslam_odom points=7683 pose=(1.048,-3.454,-0.160) dyaw=0.0002 stationary=True accumulated=5313 dropped=none
[INFO] [1788236347.015618752] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236346.844 target=pslam_odom points=7683 pose=(1.047,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=5313 dropped=none
[INFO] [1788236353.009810824] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236352.844 target=pslam_odom points=7685 pose=(1.049,-3.453,-0.160) dyaw=0.0000 stationary=True accumulated=5316 dropped=none
[INFO] [1788236359.012527308] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236358.845 target=pslam_odom points=7684 pose=(1.048,-3.455,-0.160) dyaw=-0.0002 stationary=True accumulated=5320 dropped=none
[INFO] [1788236365.011776280] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236364.845 target=pslam_odom points=7687 pose=(1.047,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5323 dropped=none
[INFO] [1788236371.014821615] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236370.845 target=pslam_odom points=7685 pose=(1.048,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5326 dropped=none
[INFO] [1788236377.011512653] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236376.845 target=pslam_odom points=7687 pose=(1.049,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5327 dropped=none
[INFO] [1788236383.017729211] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236382.844 target=pslam_odom points=7685 pose=(1.048,-3.456,-0.160) dyaw=-0.0000 stationary=True accumulated=5327 dropped=none
[INFO] [1788236389.017996605] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236388.845 target=pslam_odom points=7685 pose=(1.048,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=5331 dropped=none
[INFO] [1788236395.011345316] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236394.844 target=pslam_odom points=7682 pose=(1.047,-3.454,-0.160) dyaw=0.0001 stationary=True accumulated=5332 dropped=none
[INFO] [1788236401.012330095] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236400.845 target=pslam_odom points=7685 pose=(1.049,-3.454,-0.160) dyaw=0.0000 stationary=True accumulated=5335 dropped=none
[INFO] [1788236407.010946557] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236406.845 target=pslam_odom points=7685 pose=(1.047,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5335 dropped=none
[INFO] [1788236413.011636056] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236412.845 target=pslam_odom points=7681 pose=(1.049,-3.454,-0.160) dyaw=0.0000 stationary=True accumulated=5335 dropped=none
[INFO] [1788236419.012467013] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236418.845 target=pslam_odom points=7689 pose=(1.048,-3.455,-0.160) dyaw=0.0000 stationary=True accumulated=5335 dropped=none
[INFO] [1788236425.011793244] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236424.845 target=pslam_odom points=7688 pose=(1.047,-3.456,-0.160) dyaw=-0.0000 stationary=True accumulated=5335 dropped=none
[INFO] [1788236431.016102103] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236430.845 target=pslam_odom points=7683 pose=(1.049,-3.455,-0.160) dyaw=-0.0002 stationary=True accumulated=5339 dropped=none
[INFO] [1788236437.031226034] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236436.845 target=pslam_odom points=7684 pose=(1.048,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=5339 dropped=none
[INFO] [1788236443.012962758] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236442.845 target=pslam_odom points=7682 pose=(1.048,-3.456,-0.160) dyaw=0.0001 stationary=True accumulated=5339 dropped=none
[INFO] [1788236449.015577973] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236448.846 target=pslam_odom points=7687 pose=(1.048,-3.455,-0.160) dyaw=0.0002 stationary=True accumulated=5341 dropped=none
[INFO] [1788236455.016465040] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236454.846 target=pslam_odom points=7688 pose=(1.048,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5342 dropped=none
[INFO] [1788236461.018043514] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236460.846 target=pslam_odom points=7682 pose=(1.048,-3.454,-0.160) dyaw=0.0000 stationary=True accumulated=5344 dropped=none
[INFO] [1788236467.012158888] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236466.845 target=pslam_odom points=7685 pose=(1.047,-3.456,-0.160) dyaw=0.0000 stationary=True accumulated=5345 dropped=none
[INFO] [1788236473.014198750] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236472.846 target=pslam_odom points=7684 pose=(1.048,-3.455,-0.160) dyaw=0.0000 stationary=True accumulated=5345 dropped=none
[INFO] [1788236479.021853921] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236478.846 target=pslam_odom points=7683 pose=(1.048,-3.454,-0.160) dyaw=0.0000 stationary=True accumulated=5345 dropped=none
[INFO] [1788236485.012821227] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236484.846 target=pslam_odom points=7686 pose=(1.048,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5346 dropped=none
[INFO] [1788236491.011350951] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236490.846 target=pslam_odom points=7683 pose=(1.047,-3.456,-0.160) dyaw=-0.0000 stationary=True accumulated=5347 dropped=none
[INFO] [1788236497.013473559] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236496.846 target=pslam_odom points=7684 pose=(1.047,-3.454,-0.160) dyaw=-0.0001 stationary=True accumulated=5347 dropped=none
[INFO] [1788236503.011628558] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236502.846 target=pslam_odom points=7686 pose=(1.048,-3.454,-0.160) dyaw=0.0001 stationary=True accumulated=5347 dropped=none
[INFO] [1788236509.012524391] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236508.845 target=pslam_odom points=7687 pose=(1.049,-3.455,-0.160) dyaw=-0.0000 stationary=True accumulated=5349 dropped=none
[INFO] [1788236515.011164665] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236514.846 target=pslam_odom points=7687 pose=(1.049,-3.456,-0.160) dyaw=-0.0002 stationary=True accumulated=5351 dropped=none
[INFO] [1788236521.013055350] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236520.845 target=pslam_odom points=7685 pose=(1.048,-3.455,-0.160) dyaw=0.0000 stationary=True accumulated=5352 dropped=none
[INFO] [1788236527.016663353] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236526.846 target=pslam_odom points=7684 pose=(1.047,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5354 dropped=none
[INFO] [1788236533.012654036] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236532.846 target=pslam_odom points=7688 pose=(1.048,-3.455,-0.160) dyaw=0.0002 stationary=True accumulated=5355 dropped=none
[INFO] [1788236539.018954421] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236538.846 target=pslam_odom points=7687 pose=(1.048,-3.455,-0.160) dyaw=-0.0001 stationary=True accumulated=5357 dropped=none
[INFO] [1788236545.012619811] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236544.846 target=pslam_odom points=7687 pose=(1.048,-3.455,-0.160) dyaw=-0.0000 stationary=True accumulated=5357 dropped=none
[INFO] [1788236551.011213568] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236550.847 target=pslam_odom points=7686 pose=(1.049,-3.454,-0.160) dyaw=-0.0000 stationary=True accumulated=5357 dropped=none
[INFO] [1788236557.013651020] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236556.846 target=pslam_odom points=7687 pose=(1.049,-3.455,-0.160) dyaw=-0.0002 stationary=True accumulated=5359 dropped=none
[INFO] [1788236563.013646588] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236562.846 target=pslam_odom points=7684 pose=(1.047,-3.453,-0.160) dyaw=0.0001 stationary=True accumulated=5360 dropped=none
[INFO] [1788236569.016578248] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236568.846 target=pslam_odom points=7684 pose=(1.047,-3.456,-0.160) dyaw=-0.0001 stationary=True accumulated=5364 dropped=none
[INFO] [1788236575.013621025] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236574.846 target=pslam_odom points=7682 pose=(1.047,-3.454,-0.159) dyaw=0.0002 stationary=True accumulated=5364 dropped=none
[INFO] [1788236581.017805417] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236580.847 target=pslam_odom points=7682 pose=(1.047,-3.455,-0.159) dyaw=0.0003 stationary=True accumulated=5365 dropped=none
[INFO] [1788236587.012265625] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236586.846 target=pslam_odom points=7681 pose=(1.046,-3.455,-0.159) dyaw=-0.0000 stationary=True accumulated=5368 dropped=none
[INFO] [1788236593.012013908] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236592.846 target=pslam_odom points=7686 pose=(1.045,-3.455,-0.159) dyaw=-0.0001 stationary=True accumulated=5369 dropped=none
[INFO] [1788236599.016230925] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236598.847 target=pslam_odom points=7680 pose=(1.047,-3.455,-0.159) dyaw=-0.0001 stationary=True accumulated=5369 dropped=none
[INFO] [1788236605.020100747] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236604.846 target=pslam_odom points=7686 pose=(1.047,-3.454,-0.160) dyaw=-0.0001 stationary=True accumulated=5369 dropped=none
[INFO] [1788236611.017708071] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236610.846 target=pslam_odom points=7682 pose=(1.046,-3.455,-0.159) dyaw=0.0001 stationary=True accumulated=5370 dropped=none
[INFO] [1788236617.012671324] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236616.847 target=pslam_odom points=7685 pose=(1.047,-3.454,-0.159) dyaw=-0.0001 stationary=True accumulated=5371 dropped=none
[INFO] [1788236623.016124335] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236622.847 target=pslam_odom points=7681 pose=(1.046,-3.455,-0.159) dyaw=-0.0002 stationary=True accumulated=5371 dropped=none
[INFO] [1788236629.011534287] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236628.846 target=pslam_odom points=7679 pose=(1.047,-3.455,-0.160) dyaw=0.0002 stationary=True accumulated=5371 dropped=none
[INFO] [1788236635.021080632] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236634.847 target=pslam_odom points=7683 pose=(1.047,-3.455,-0.160) dyaw=0.0001 stationary=True accumulated=5373 dropped=none
[INFO] [1788236641.013504980] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236640.847 target=pslam_odom points=7685 pose=(1.046,-3.454,-0.159) dyaw=-0.0001 stationary=True accumulated=5373 dropped=none
[INFO] [1788236647.012879326] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236646.847 target=pslam_odom points=7684 pose=(1.046,-3.454,-0.160) dyaw=-0.0001 stationary=True accumulated=5374 dropped=none
[INFO] [1788236653.013894849] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236652.847 target=pslam_odom points=7679 pose=(1.046,-3.455,-0.159) dyaw=0.0002 stationary=True accumulated=5374 dropped=none
[INFO] [1788236659.012482313] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236658.847 target=pslam_odom points=7681 pose=(1.046,-3.454,-0.159) dyaw=-0.0001 stationary=True accumulated=5374 dropped=none
[INFO] [1788236665.013922453] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236664.847 target=pslam_odom points=7681 pose=(1.046,-3.454,-0.159) dyaw=-0.0000 stationary=True accumulated=5375 dropped=none
[INFO] [1788236671.012693538] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236670.848 target=pslam_odom points=7676 pose=(1.046,-3.454,-0.160) dyaw=-0.0001 stationary=True accumulated=5377 dropped=none
[INFO] [1788236677.006154338] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236676.847 target=pslam_odom points=7693 pose=(1.055,-3.475,-0.154) dyaw=-0.0006 stationary=False accumulated=5735 dropped=motion_active
[INFO] [1788236683.019764515] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236682.847 target=pslam_odom points=7668 pose=(1.042,-3.460,-0.162) dyaw=0.0000 stationary=True accumulated=6409 dropped=none
[INFO] [1788236689.013659579] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236688.847 target=pslam_odom points=7663 pose=(1.041,-3.461,-0.162) dyaw=0.0001 stationary=True accumulated=6469 dropped=none
[INFO] [1788236695.015129930] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236694.848 target=pslam_odom points=7673 pose=(1.044,-3.466,-0.161) dyaw=0.0002 stationary=True accumulated=6516 dropped=none
[INFO] [1788236701.016188144] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236700.848 target=pslam_odom points=7662 pose=(1.044,-3.460,-0.162) dyaw=-0.0001 stationary=True accumulated=6573 dropped=none
[INFO] [1788236707.116342699] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236706.947 target=pslam_odom points=7662 pose=(1.041,-3.460,-0.162) dyaw=-0.0000 stationary=True accumulated=6590 dropped=none
[INFO] [1788236713.115235213] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236712.947 target=pslam_odom points=7661 pose=(1.042,-3.461,-0.162) dyaw=-0.0002 stationary=True accumulated=6596 dropped=none
[INFO] [1788236719.114569663] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236718.948 target=pslam_odom points=7665 pose=(1.043,-3.463,-0.161) dyaw=-0.0001 stationary=True accumulated=6638 dropped=none
[INFO] [1788236725.115869792] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236724.947 target=pslam_odom points=7666 pose=(1.039,-3.463,-0.161) dyaw=0.0001 stationary=True accumulated=6668 dropped=none
[INFO] [1788236726.232157441] [plain_slam_web_bridge]: reset marker touched -> cleared accumulated cloud
[INFO] [1788236731.213142019] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236731.048 target=pslam_odom points=7665 pose=(1.040,-3.462,-0.161) dyaw=-0.0002 stationary=True accumulated=3927 dropped=none
[INFO] [1788236737.214465591] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236737.048 target=pslam_odom points=7665 pose=(1.044,-3.461,-0.161) dyaw=-0.0001 stationary=True accumulated=4182 dropped=none
[INFO] [1788236743.314715871] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236743.148 target=pslam_odom points=7619 pose=(-1.129,-5.172,-0.175) dyaw=-0.0029 stationary=False accumulated=4196 dropped=motion_active
[INFO] [1788236749.309814151] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236749.148 target=pslam_odom points=7615 pose=(-1.003,-5.190,-0.182) dyaw=-0.0019 stationary=False accumulated=4196 dropped=motion_active
[INFO] [1788236755.417102203] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236755.247 target=pslam_odom points=7620 pose=(-0.994,-5.202,-0.188) dyaw=-0.0009 stationary=True accumulated=7013 dropped=none
[INFO] [1788236761.423697604] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236761.248 target=pslam_odom points=7613 pose=(-0.992,-5.203,-0.189) dyaw=-0.0004 stationary=True accumulated=7921 dropped=none
[INFO] [1788236767.416814297] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236767.248 target=pslam_odom points=7628 pose=(-0.990,-5.203,-0.191) dyaw=-0.0002 stationary=True accumulated=8131 dropped=none
[INFO] [1788236773.420045317] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236773.248 target=pslam_odom points=7620 pose=(-0.989,-5.203,-0.191) dyaw=-0.0002 stationary=True accumulated=8241 dropped=none
[INFO] [1788236779.414449206] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236779.248 target=pslam_odom points=7661 pose=(-1.443,-5.356,0.197) dyaw=0.0041 stationary=False accumulated=8294 dropped=motion_active
[INFO] [1788236785.409100217] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236785.247 target=pslam_odom points=7617 pose=(-2.099,-5.199,0.363) dyaw=-0.0057 stationary=False accumulated=8294 dropped=motion_active
[INFO] [1788236791.423659765] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236791.247 target=pslam_odom points=7648 pose=(-2.086,-5.202,0.350) dyaw=-0.0027 stationary=True accumulated=11366 dropped=none
[INFO] [1788236797.522945030] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236797.347 target=pslam_odom points=7651 pose=(-2.086,-5.205,0.345) dyaw=-0.0012 stationary=True accumulated=12450 dropped=none
[INFO] [1788236803.517012895] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236803.345 target=pslam_odom points=7650 pose=(-2.087,-5.202,0.343) dyaw=-0.0004 stationary=True accumulated=12750 dropped=none
[INFO] [1788236809.515085735] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236809.345 target=pslam_odom points=7294 pose=(-2.087,-5.207,0.343) dyaw=-0.0003 stationary=True accumulated=13247 dropped=none
[INFO] [1788236815.718031245] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236815.545 target=pslam_odom points=7682 pose=(-2.037,-5.261,0.435) dyaw=0.0375 stationary=False accumulated=13426 dropped=motion_active
[INFO] [1788236822.006014541] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236821.844 target=pslam_odom points=7680 pose=(-3.111,-5.035,0.658) dyaw=0.0020 stationary=False accumulated=13426 dropped=motion_active
[INFO] [1788236828.115110368] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236827.943 target=pslam_odom points=7686 pose=(-3.479,-4.891,0.711) dyaw=-0.0048 stationary=False accumulated=13426 dropped=motion_active
[INFO] [1788236834.104729011] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236833.943 target=pslam_odom points=7675 pose=(-3.458,-4.908,0.700) dyaw=-0.0016 stationary=False accumulated=13426 dropped=motion_active
[INFO] [1788236840.117580799] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236839.943 target=pslam_odom points=7678 pose=(-3.454,-4.911,0.695) dyaw=-0.0007 stationary=True accumulated=17122 dropped=none
[INFO] [1788236846.331499452] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236846.142 target=pslam_odom points=7621 pose=(-2.826,-6.909,0.638) dyaw=0.0003 stationary=False accumulated=17430 dropped=motion_active
[INFO] [1788236852.520775277] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236852.341 target=pslam_odom points=7610 pose=(-3.554,-2.776,0.979) dyaw=-0.0026 stationary=False accumulated=17430 dropped=motion_active
[INFO] [1788236858.705838628] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236858.542 target=pslam_odom points=7617 pose=(-3.509,-2.982,0.918) dyaw=-0.0023 stationary=False accumulated=17430 dropped=motion_active
[INFO] [1788236864.908920276] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236864.741 target=pslam_odom points=7615 pose=(-3.507,-2.987,0.912) dyaw=0.0020 stationary=True accumulated=19544 dropped=none
[INFO] [1788236871.405843216] [plain_slam_web_bridge]: scan_diag frame=pslam_odom stamp=1788236871.240 target=pslam_odom points=7659 pose=(-1.123,-7.038,0.890) dyaw=0.0009 stationary=False accumulated=19544 dropped=motion_active
