timestamp,q0,q1,q2,q3,dq0,dq1,dq2,dq3,lease_id
1787111532304391,0,0,0,0,0,0,0,0,123456789
1787111532354665,0,0,0,0,0,0,0,0,123456789
1787111532404948,0,0,0,0,0,0,0,0,123456789
1787111532455311,0,0,0,0,0,0,0,0,123456789
1787111532505624,0,0,0,0,0,0,0,0,123456789
1787111532555898,0,0,0,0,0,0,0,0,123456789
1787111532606185,0,0,0,0,0,0,0,0,123456789
1787111532656435,0,0,0,0,0,0,0,0,123456789
1787111532706722,0,0,0,0,0,0,0,0,123456789
1787111532757069,0,0,0,0,0,0,0,0,123456789
1787111532807554,0,0,0,0,0,0,0,0,123456789
1787111532857895,0,0,0,0,0,0,0,0,123456789
1787111532908189,0,0,0,0,0,0,0,0,123456789
1787111532958446,0,0,0,0,0,0,0,0,123456789
1787111533008701,0,0,0,0,0,0,0,0,123456789
1787111533058968,0,0,0,0,0,0,0,0,123456789
1787111533109333,0,0,0,0,0,0,0,0,123456789
1787111533159657,0,0,0,0,0,0,0,0,123456789
1787111533209951,0,0,0,0,0,0,0,0,123456789
